Designator,Mid X,Mid Y,Rotation,Layer
BT1,201.9,-74.1,270.0,top
LS2,201.9,-86.05,270.0,top
SWITCH,201.65,-99.4,90.0,top
U1,186.1925,-97.631,180.0,top
U3,185.35,-75.577,0.0,top
